Question ID,Title,Title Slug,Difficulty,Tags
226,Invert Binary Tree,invert-binary-tree,Easy,"['tree', 'depth-first-search', 'breadth-first-search', 'binary-tree']"
206,Reverse Linked List,reverse-linked-list,Easy,"['linked-list', 'recursion']"
101,Symmetric Tree,symmetric-tree,Easy,"['tree', 'depth-first-search', 'breadth-first-search', 'binary-tree']"
100,Same Tree,same-tree,Easy,"['tree', 'depth-first-search', 'breadth-first-search', 'binary-tree']"
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,Easy,"['tree', 'depth-first-search', 'breadth-first-search', 'binary-tree']"
198,House Robber,house-robber,Medium,"['array', 'dynamic-programming']"
1365,How Many Numbers Are Smaller Than the Current Number,how-many-numbers-are-smaller-than-the-current-number,Easy,"['array', 'hash-table', 'sorting', 'counting']"
283,Move Zeroes,move-zeroes,Easy,"['array', 'two-pointers']"
70,Climbing Stairs,climbing-stairs,Easy,"['math', 'dynamic-programming', 'memoization']"
136,Single Number,single-number,Easy,"['array', 'bit-manipulation']"
1,Two Sum,two-sum,Easy,"['array', 'hash-table']"
1046,Last Stone Weight,last-stone-weight,Easy,"['array', 'heap-priority-queue']"
20,Valid Parentheses,valid-parentheses,Easy,"['string', 'stack']"
121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,Easy,"['array', 'dynamic-programming']"
876,Middle of the Linked List,middle-of-the-linked-list,Easy,"['linked-list', 'two-pointers']"
53,Maximum Subarray,maximum-subarray,Medium,"['array', 'divide-and-conquer', 'dynamic-programming']"
572,Subtree of Another Tree,subtree-of-another-tree,Easy,"['tree', 'depth-first-search', 'string-matching', 'binary-tree', 'hash-function']"
581,Shortest Unsorted Continuous Subarray,shortest-unsorted-continuous-subarray,Medium,"['array', 'two-pointers', 'stack', 'greedy', 'sorting', 'monotonic-stack']"
844,Backspace String Compare,backspace-string-compare,Easy,"['two-pointers', 'string', 'stack', 'simulation']"
235,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,Medium,"['tree', 'depth-first-search', 'binary-search-tree', 'binary-tree']"
872,Leaf-Similar Trees,leaf-similar-trees,Easy,"['tree', 'depth-first-search', 'binary-tree']"
896,Monotonic Array,monotonic-array,Easy,['array']
203,Remove Linked List Elements,remove-linked-list-elements,Easy,"['linked-list', 'recursion']"
617,Merge Two Binary Trees,merge-two-binary-trees,Easy,"['tree', 'depth-first-search', 'breadth-first-search', 'binary-tree']"
559,Maximum Depth of N-ary Tree,maximum-depth-of-n-ary-tree,Easy,"['tree', 'depth-first-search', 'breadth-first-search']"
463,Island Perimeter,island-perimeter,Easy,"['array', 'depth-first-search', 'breadth-first-search', 'matrix']"
257,Binary Tree Paths,binary-tree-paths,Easy,"['string', 'backtracking', 'tree', 'depth-first-search', 'binary-tree']"
387,First Unique Character in a String,first-unique-character-in-a-string,Easy,"['hash-table', 'string', 'queue', 'counting']"
993,Cousins in Binary Tree,cousins-in-binary-tree,Easy,"['tree', 'depth-first-search', 'breadth-first-search', 'binary-tree']"
538,Convert BST to Greater Tree,convert-bst-to-greater-tree,Medium,"['tree', 'depth-first-search', 'binary-search-tree', 'binary-tree']"
917,Reverse Only Letters,reverse-only-letters,Easy,"['two-pointers', 'string']"
680,Valid Palindrome II,valid-palindrome-ii,Easy,"['two-pointers', 'string', 'greedy']"
543,Diameter of Binary Tree,diameter-of-binary-tree,Easy,"['tree', 'depth-first-search', 'binary-tree']"
704,Binary Search,binary-search,Easy,"['array', 'binary-search']"
1143,Longest Common Subsequence,longest-common-subsequence,Medium,"['string', 'dynamic-programming']"
208,Implement Trie (Prefix Tree),implement-trie-prefix-tree,Medium,"['hash-table', 'string', 'design', 'trie']"
958,Check Completeness of a Binary Tree,check-completeness-of-a-binary-tree,Medium,"['tree', 'breadth-first-search', 'binary-tree']"
1277,Count Square Submatrices with All Ones,count-square-submatrices-with-all-ones,Medium,"['array', 'dynamic-programming', 'matrix']"
337,House Robber III,house-robber-iii,Medium,"['dynamic-programming', 'tree', 'depth-first-search', 'binary-tree']"
1004,Max Consecutive Ones III,max-consecutive-ones-iii,Medium,"['array', 'binary-search', 'sliding-window', 'prefix-sum']"
64,Minimum Path Sum,minimum-path-sum,Medium,"['array', 'dynamic-programming', 'matrix']"
863,All Nodes Distance K in Binary Tree,all-nodes-distance-k-in-binary-tree,Medium,"['tree', 'depth-first-search', 'breadth-first-search', 'binary-tree']"
106,Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,Medium,"['array', 'hash-table', 'divide-and-conquer', 'tree', 'binary-tree']"
983,Minimum Cost For Tickets,minimum-cost-for-tickets,Medium,"['array', 'dynamic-programming']"
78,Subsets,subsets,Medium,"['array', 'backtracking', 'bit-manipulation']"
300,Longest Increasing Subsequence,longest-increasing-subsequence,Medium,"['array', 'binary-search', 'dynamic-programming']"
240,Search a 2D Matrix II,search-a-2d-matrix-ii,Medium,"['array', 'binary-search', 'divide-and-conquer', 'matrix']"
583,Delete Operation for Two Strings,delete-operation-for-two-strings,Medium,"['string', 'dynamic-programming']"
221,Maximal Square,maximal-square,Medium,"['array', 'dynamic-programming', 'matrix']"
230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,Medium,"['tree', 'depth-first-search', 'binary-search-tree', 'binary-tree']"
1035,Uncrossed Lines,uncrossed-lines,Medium,"['array', 'dynamic-programming']"
102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,Medium,"['tree', 'breadth-first-search', 'binary-tree']"
416,Partition Equal Subset Sum,partition-equal-subset-sum,Medium,"['array', 'dynamic-programming']"
46,Permutations,permutations,Medium,"['array', 'backtracking']"
678,Valid Parenthesis String,valid-parenthesis-string,Medium,"['string', 'dynamic-programming', 'stack', 'greedy']"
105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,Medium,"['array', 'hash-table', 'divide-and-conquer', 'tree', 'binary-tree']"
129,Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,Medium,"['tree', 'depth-first-search', 'binary-tree']"
213,House Robber II,house-robber-ii,Medium,"['array', 'dynamic-programming']"
714,Best Time to Buy and Sell Stock with Transaction Fee,best-time-to-buy-and-sell-stock-with-transaction-fee,Medium,"['array', 'dynamic-programming', 'greedy']"
1011,Capacity To Ship Packages Within D Days,capacity-to-ship-packages-within-d-days,Medium,"['array', 'binary-search']"
886,Possible Bipartition,possible-bipartition,Medium,"['depth-first-search', 'breadth-first-search', 'union-find', 'graph']"
739,Daily Temperatures,daily-temperatures,Medium,"['array', 'stack', 'monotonic-stack']"
1008,Construct Binary Search Tree from Preorder Traversal,construct-binary-search-tree-from-preorder-traversal,Medium,"['array', 'stack', 'tree', 'binary-search-tree', 'monotonic-stack', 'binary-tree']"
39,Combination Sum,combination-sum,Medium,"['array', 'backtracking']"
1249,Minimum Remove to Make Valid Parentheses,minimum-remove-to-make-valid-parentheses,Medium,"['string', 'stack']"
962,Maximum Width Ramp,maximum-width-ramp,Medium,"['array', 'stack', 'monotonic-stack']"
986,Interval List Intersections,interval-list-intersections,Medium,"['array', 'two-pointers']"
47,Permutations II,permutations-ii,Medium,"['array', 'backtracking']"
926,Flip String to Monotone Increasing,flip-string-to-monotone-increasing,Medium,"['string', 'dynamic-programming']"
560,Subarray Sum Equals K,subarray-sum-equals-k,Medium,"['array', 'hash-table', 'prefix-sum']"
946,Validate Stack Sequences,validate-stack-sequences,Medium,"['array', 'stack', 'simulation']"
856,Score of Parentheses,score-of-parentheses,Medium,"['string', 'stack']"
322,Coin Change,coin-change,Medium,"['array', 'dynamic-programming', 'breadth-first-search']"
787,Cheapest Flights Within K Stops,cheapest-flights-within-k-stops,Medium,"['dynamic-programming', 'depth-first-search', 'breadth-first-search', 'graph', 'heap-priority-queue', 'shortest-path']"
200,Number of Islands,number-of-islands,Medium,"['array', 'depth-first-search', 'breadth-first-search', 'union-find', 'matrix']"
435,Non-overlapping Intervals,non-overlapping-intervals,Medium,"['array', 'dynamic-programming', 'greedy', 'sorting']"
