#,Url,Acceptance,Difficulty,Tags
1108,https://leetcode.com/problems/defanging-an-ip-address,87.1% (191158),Easy,String
771,https://leetcode.com/problems/jewels-and-stones,86.2% (508249),Easy,Hash Table
1295,https://leetcode.com/problems/find-numbers-with-even-number-of-digits,82.6% (116490),Easy,Array
938,https://leetcode.com/problems/range-sum-of-bst,80.9% (209929),Easy,"Tree, Recursion"
709,https://leetcode.com/problems/to-lower-case,79.1% (206802),Easy,String
595,https://leetcode.com/problems/big-countries,77% (171886),Easy,
804,https://leetcode.com/problems/unique-morse-code-words,76.7% (136046),Easy,String
832,https://leetcode.com/problems/flipping-an-image,75.8% (167454),Easy,Array
627,https://leetcode.com/problems/swap-salary,74.7% (105781),Easy,
728,https://leetcode.com/problems/self-dividing-numbers,73.9% (123585),Easy,Math
905,https://leetcode.com/problems/sort-array-by-parity,73.9% (194956),Easy,Array
617,https://leetcode.com/problems/merge-two-binary-trees,73.7% (293379),Easy,Tree
961,https://leetcode.com/problems/n-repeated-element-in-size-2n-array,73.5% (113588),Easy,Hash Table
657,https://leetcode.com/problems/robot-return-to-origin,73.3% (232600),Easy,String
700,https://leetcode.com/problems/search-in-a-binary-search-tree,72.9% (182736),Easy,Tree
977,https://leetcode.com/problems/squares-of-a-sorted-array,72.3% (231608),Easy,"Array, Two Pointers"
561,https://leetcode.com/problems/array-partition-i,71.7% (210906),Easy,Array
589,https://leetcode.com/problems/n-ary-tree-preorder-traversal,71.6% (102085),Easy,Tree
461,https://leetcode.com/problems/hamming-distance,71.5% (310102),Easy,Bit Manipulation
852,https://leetcode.com/problems/peak-index-in-a-mountain-array,71.5% (156704),Easy,Binary Search
557,https://leetcode.com/problems/reverse-words-in-a-string-iii,69.3% (198924),Easy,String
559,https://leetcode.com/problems/maximum-depth-of-n-ary-tree,68.2% (107896),Easy,"Tree, Depth-first Search, Breadth-first Search"
876,https://leetcode.com/problems/middle-of-the-linked-list,68.2% (223160),Easy,Linked List
344,https://leetcode.com/problems/reverse-string,68% (750621),Easy,"Two Pointers, String"
929,https://leetcode.com/problems/unique-email-addresses,67.5% (196744),Easy,String
509,https://leetcode.com/problems/fibonacci-number,67.1% (202596),Easy,Array
620,https://leetcode.com/problems/not-boring-movies,66.9% (102238),Easy,
104,https://leetcode.com/problems/maximum-depth-of-binary-tree,65.5% (811687),Easy,"Tree, Depth-first Search"
136,https://leetcode.com/problems/single-number,65.2% (872042),Easy,"Hash Table, Bit Manipulation"
476,https://leetcode.com/problems/number-complement,64.7% (188912),Easy,Bit Manipulation
226,https://leetcode.com/problems/invert-binary-tree,64.4% (527691),Easy,Tree
500,https://leetcode.com/problems/keyboard-row,64.4% (110362),Easy,Hash Table
463,https://leetcode.com/problems/island-perimeter,63.8% (187311),Easy,Hash Table
496,https://leetcode.com/problems/next-greater-element-i,63.4% (153961),Easy,Stack
237,https://leetcode.com/problems/delete-node-in-a-linked-list,62.9% (457004),Easy,Linked List
669,https://leetcode.com/problems/trim-a-binary-search-tree,62.7% (100464),Easy,Tree
637,https://leetcode.com/problems/average-of-levels-in-binary-tree,62.5% (122568),Easy,Tree
1046,https://leetcode.com/problems/last-stone-weight,62.1% (128840),Easy,"Heap, Greedy"
412,https://leetcode.com/problems/fizz-buzz,62% (330380),Easy,"Fizz Buzz Multithreaded, Medium"
206,https://leetcode.com/problems/reverse-linked-list,61.8% (979060),Easy,Linked List
349,https://leetcode.com/problems/intersection-of-two-arrays,61.8% (359058),Easy,"Hash Table, Two Pointers, Binary Search, Sort"
182,https://leetcode.com/problems/duplicate-emails,61.3% (175629),Easy,
175,https://leetcode.com/problems/combine-two-tables,60% (264034),Easy,"Employee Bonus, Easy"
169,https://leetcode.com/problems/majority-element,58.3% (643453),Easy,"Array, Divide and Conquer, Bit Manipulation"
283,https://leetcode.com/problems/move-zeroes,57.6% (828742),Easy,"Array, Two Pointers"
896,https://leetcode.com/problems/monotonic-array,57.6% (101143),Easy,Array
108,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,57.2% (399924),Easy,"Tree, Depth-first Search"
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,56.4% (602956),Easy,"Array, Greedy"
242,https://leetcode.com/problems/valid-anagram,56.4% (562541),Easy,"Hash Table, Sort"
258,https://leetcode.com/problems/add-digits,56.3% (286277),Easy,Math
181,https://leetcode.com/problems/employees-earning-more-than-their-managers,56% (173273),Easy,
217,https://leetcode.com/problems/contains-duplicate,55.8% (559686),Easy,"Array, Hash Table"
448,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array,55.7% (253089),Easy,Array
13,https://leetcode.com/problems/roman-to-integer,55.4% (689600),Easy,"Math, String"
292,https://leetcode.com/problems/nim-game,55.3% (217765),Easy,"Brainteaser, Minimax"
653,https://leetcode.com/problems/two-sum-iv-input-is-a-bst,55.2% (140374),Easy,Tree
485,https://leetcode.com/problems/max-consecutive-ones,55.1% (226442),Easy,Array
389,https://leetcode.com/problems/find-the-difference,55% (193515),Easy,"Hash Table, Bit Manipulation"
733,https://leetcode.com/problems/flood-fill,55% (161952),Easy,Depth-first Search
538,https://leetcode.com/problems/convert-bst-to-greater-tree,54.9% (117725),Easy,Tree
953,https://leetcode.com/problems/verifying-an-alien-dictionary,54.4% (109757),Easy,Hash Table
171,https://leetcode.com/problems/excel-sheet-column-number,54.2% (285634),Easy,Math
937,https://leetcode.com/problems/reorder-data-in-log-files,54.1% (116933),Easy,String
167,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,53.6% (404346),Easy,"Array, Two Pointers, Binary Search"
520,https://leetcode.com/problems/detect-capital,53.3% (110420),Easy,String
387,https://leetcode.com/problems/first-unique-character-in-a-string,53.2% (530287),Easy,"Hash Table, String"
21,https://leetcode.com/problems/merge-two-sorted-lists,53% (996848),Easy,Linked List
383,https://leetcode.com/problems/ransom-note,52.9% (221284),Easy,String
100,https://leetcode.com/problems/same-tree,52.5% (540262),Easy,"Tree, Depth-first Search"
183,https://leetcode.com/problems/customers-who-never-order,52.5% (166837),Easy,
993,https://leetcode.com/problems/cousins-in-binary-tree,51.9% (105291),Easy,"Tree, Breadth-first Search"
118,https://leetcode.com/problems/pascals-triangle,51.8% (374016),Easy,Array
107,https://leetcode.com/problems/binary-tree-level-order-traversal-ii,51.6% (308697),Easy,"Tree, Breadth-first Search"
704,https://leetcode.com/problems/binary-search,51.6% (135992),Easy,Binary Search
