#,Title,Difficulty,Upvotes Ratio,Tags
226,https://leetcode.com/problems/invert-binary-tree,Easy,61.06 (3297),Tree
206,https://leetcode.com/problems/reverse-linked-list,Easy,49.48 (4404),Linked List
101,https://leetcode.com/problems/symmetric-tree,Easy,42.83 (4026),"Tree, Depth-first Search, Breadth-first Search"
100,https://leetcode.com/problems/same-tree,Easy,34.2 (2018),"Tree, Depth-first Search"
104,https://leetcode.com/problems/maximum-depth-of-binary-tree,Easy,33.56 (2450),"Tree, Depth-first Search"
198,https://leetcode.com/problems/house-robber,Easy,32.68 (4673),Dynamic Programming
1365,https://leetcode.com/problems/how-many-numbers-are-smaller-than-the-current-number,Easy,32 (608),"Array, Hash Table"
283,https://leetcode.com/problems/move-zeroes,Easy,30.9 (3739),"Array, Two Pointers"
70,https://leetcode.com/problems/climbing-stairs,Easy,30.64 (4229),Dynamic Programming
136,https://leetcode.com/problems/single-number,Easy,27.74 (4410),"Hash Table, Bit Manipulation"
1,https://leetcode.com/problems/two-sum,Easy,27.66 (15408),"Array, Hash Table"
1046,https://leetcode.com/problems/last-stone-weight,Easy,27.59 (800),"Heap, Greedy"
20,https://leetcode.com/problems/valid-parentheses,Easy,22.95 (4958),"String, Stack"
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Easy,22.7 (4995),"Array, Dynamic Programming"
876,https://leetcode.com/problems/middle-of-the-linked-list,Easy,21.51 (1312),Linked List
53,https://leetcode.com/problems/maximum-subarray,Easy,21.48 (7799),"Array, Divide and Conquer, Dynamic Programming"
572,https://leetcode.com/problems/subtree-of-another-tree,Easy,20.24 (2247),Tree
581,https://leetcode.com/problems/shortest-unsorted-continuous-subarray,Easy,19.42 (2602),Array
844,https://leetcode.com/problems/backspace-string-compare,Easy,19.13 (1626),"Two Pointers, Stack"
235,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,Easy,18.87 (1981),Tree
872,https://leetcode.com/problems/leaf-similar-trees,Easy,18.72 (730),"Tree, Depth-first Search"
896,https://leetcode.com/problems/monotonic-array,Easy,17.54 (614),Array
203,https://leetcode.com/problems/remove-linked-list-elements,Easy,17.54 (1561),Linked List
617,https://leetcode.com/problems/merge-two-binary-trees,Easy,17.39 (2956),Tree
559,https://leetcode.com/problems/maximum-depth-of-n-ary-tree,Easy,17.24 (776),"Tree, Depth-first Search, Breadth-first Search"
463,https://leetcode.com/problems/island-perimeter,Easy,16.87 (1805),Hash Table
257,https://leetcode.com/problems/binary-tree-paths,Easy,16.81 (1647),"Tree, Depth-first Search"
387,https://leetcode.com/problems/first-unique-character-in-a-string,Easy,16.43 (1889),"Hash Table, String"
993,https://leetcode.com/problems/cousins-in-binary-tree,Easy,16.29 (831),"Tree, Breadth-first Search"
538,https://leetcode.com/problems/convert-bst-to-greater-tree,Easy,16.21 (1864),Tree
917,https://leetcode.com/problems/reverse-only-letters,Easy,15.74 (535),String
680,https://leetcode.com/problems/valid-palindrome-ii,Easy,15.6 (1591),String
543,https://leetcode.com/problems/diameter-of-binary-tree,Easy,15.55 (2955),Tree
704,https://leetcode.com/problems/binary-search,Easy,15.16 (652),Binary Search
1143,https://leetcode.com/problems/longest-common-subsequence,Medium,88.06 (1409),Dynamic Programming
208,https://leetcode.com/problems/implement-trie-prefix-tree,Medium,64.23 (3083),"Design, Trie"
958,https://leetcode.com/problems/check-completeness-of-a-binary-tree,Medium,57.62 (749),Tree
1277,https://leetcode.com/problems/count-square-submatrices-with-all-ones,Medium,51.11 (920),"Array, Dynamic Programming"
337,https://leetcode.com/problems/house-robber-iii,Medium,49.75 (2587),"Tree, Depth-first Search"
1004,https://leetcode.com/problems/max-consecutive-ones-iii,Medium,48.76 (1024),"Two Pointers, Sliding Window"
64,https://leetcode.com/problems/minimum-path-sum,Medium,48.61 (2965),"Array, Dynamic Programming"
863,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,Medium,48.4 (1936),"Tree, Depth-first Search, Breadth-first Search"
106,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,Medium,47.42 (1565),"Array, Tree, Depth-first Search"
983,https://leetcode.com/problems/minimum-cost-for-tickets,Medium,46.03 (1381),Dynamic Programming
78,https://leetcode.com/problems/subsets,Medium,44.79 (3583),"Array, Backtracking, Bit Manipulation"
300,https://leetcode.com/problems/longest-increasing-subsequence,Medium,43.14 (4616),"Binary Search, Dynamic Programming"
