Question ID,Title,Title Slug,Difficulty,Tags
175,Combine Two Tables,combine-two-tables,Easy,['database']
176,Second Highest Salary,second-highest-salary,Medium,['database']
177,Nth Highest Salary,nth-highest-salary,Medium,['database']
178,Rank Scores,rank-scores,Medium,['database']
180,Consecutive Numbers,consecutive-numbers,Medium,['database']
181,Employees Earning More Than Their Managers,employees-earning-more-than-their-managers,Easy,['database']
182,Duplicate Emails,duplicate-emails,Easy,['database']
183,Customers Who Never Order,customers-who-never-order,Easy,['database']
184,Department Highest Salary,department-highest-salary,Medium,['database']
185,Department Top Three Salaries,department-top-three-salaries,Hard,['database']
196,Delete Duplicate Emails,delete-duplicate-emails,Easy,['database']
197,Rising Temperature,rising-temperature,Easy,['database']
262,Trips and Users,trips-and-users,Hard,['database']
511,Game Play Analysis I,game-play-analysis-i,Easy,['database']
550,Game Play Analysis IV,game-play-analysis-iv,Medium,['database']
570,Managers with at Least 5 Direct Reports,managers-with-at-least-5-direct-reports,Medium,['database']
577,Employee Bonus,employee-bonus,Easy,['database']
584,Find Customer Referee,find-customer-referee,Easy,['database']
585,Investments in 2016,investments-in-2016,Medium,['database']
586,Customer Placing the Largest Number of Orders,customer-placing-the-largest-number-of-orders,Easy,['database']
595,Big Countries,big-countries,Easy,['database']
596,Classes More Than 5 Students,classes-more-than-5-students,Easy,['database']
601,Human Traffic of Stadium,human-traffic-of-stadium,Hard,['database']
602,Friend Requests II: Who Has the Most Friends,friend-requests-ii-who-has-the-most-friends,Medium,['database']
607,Sales Person,sales-person,Easy,['database']
608,Tree Node,tree-node,Medium,['database']
610,Triangle Judgement,triangle-judgement,Easy,['database']
619,Biggest Single Number,biggest-single-number,Easy,['database']
620,Not Boring Movies,not-boring-movies,Easy,['database']
626,Exchange Seats,exchange-seats,Medium,['database']
627,Swap Salary,swap-salary,Easy,['database']
1045,Customers Who Bought All Products,customers-who-bought-all-products,Medium,['database']
1050,Actors and Directors Who Cooperated At Least Three Times,actors-and-directors-who-cooperated-at-least-three-times,Easy,['database']
1068,Product Sales Analysis I,product-sales-analysis-i,Easy,['database']
1070,Product Sales Analysis III,product-sales-analysis-iii,Medium,['database']
1075,Project Employees I,project-employees-i,Easy,['database']
1084,Sales Analysis III,sales-analysis-iii,Easy,['database']
1141,User Activity for the Past 30 Days I,user-activity-for-the-past-30-days-i,Easy,['database']
1148,Article Views I,article-views-i,Easy,['database']
1158,Market Analysis I,market-analysis-i,Medium,['database']
1164,Product Price at a Given Date,product-price-at-a-given-date,Medium,['database']
1174,Immediate Food Delivery II,immediate-food-delivery-ii,Medium,['database']
1179,Reformat Department Table,reformat-department-table,Easy,['database']
1193,Monthly Transactions I,monthly-transactions-i,Medium,['database']
1204,Last Person to Fit in the Bus,last-person-to-fit-in-the-bus,Medium,['database']
1211,Queries Quality and Percentage,queries-quality-and-percentage,Easy,['database']
1251,Average Selling Price,average-selling-price,Easy,['database']
1280,Students and Examinations,students-and-examinations,Easy,['database']
1321,Restaurant Growth,restaurant-growth,Medium,['database']
1327,List the Products Ordered in a Period,list-the-products-ordered-in-a-period,Easy,['database']
1341,Movie Rating,movie-rating,Medium,['database']
1378,Replace Employee ID With The Unique Identifier,replace-employee-id-with-the-unique-identifier,Easy,['database']
1393,Capital Gain/Loss,capital-gainloss,Medium,['database']
1407,Top Travellers,top-travellers,Easy,['database']
1484,Group Sold Products By The Date,group-sold-products-by-the-date,Easy,['database']
1517,Find Users With Valid E-Mails,find-users-with-valid-e-mails,Easy,['database']
1527,Patients With a Condition,patients-with-a-condition,Easy,['database']
1581,Customer Who Visited but Did Not Make Any Transactions,customer-who-visited-but-did-not-make-any-transactions,Easy,['database']
1587,Bank Account Summary II,bank-account-summary-ii,Easy,['database']
1633,Percentage of Users Attended a Contest,percentage-of-users-attended-a-contest,Easy,['database']
1661,Average Time of Process per Machine,average-time-of-process-per-machine,Easy,['database']
1667,Fix Names in a Table,fix-names-in-a-table,Easy,['database']
1683,Invalid Tweets,invalid-tweets,Easy,['database']
1693,Daily Leads and Partners,daily-leads-and-partners,Easy,['database']
1729,Find Followers Count,find-followers-count,Easy,['database']
1731,The Number of Employees Which Report to Each Employee,the-number-of-employees-which-report-to-each-employee,Easy,['database']
1741,Find Total Time Spent by Each Employee,find-total-time-spent-by-each-employee,Easy,['database']
1757,Recyclable and Low Fat Products,recyclable-and-low-fat-products,Easy,['database']
1789,Primary Department for Each Employee,primary-department-for-each-employee,Easy,['database']
1795,Rearrange Products Table,rearrange-products-table,Easy,['database']
1873,Calculate Special Bonus,calculate-special-bonus,Easy,['database']
1890,The Latest Login in 2020,the-latest-login-in-2020,Easy,['database']
1907,Count Salary Categories,count-salary-categories,Medium,['database']
1934,Confirmation Rate,confirmation-rate,Medium,['database']
1965,Employees With Missing Information,employees-with-missing-information,Easy,['database']
1978,Employees Whose Manager Left the Company,employees-whose-manager-left-the-company,Easy,['database']
2356,Number of Unique Subjects Taught by Each Teacher,number-of-unique-subjects-taught-by-each-teacher,Easy,['database']
,,,,
